100 10000
39 55 20
46 74 15
3 93 19
40 89 11
98 94 14
92 62 12
82 1 13
99 82 15
88 58 11
32 84 12
69 83 19
20 0 14
78 48 19
72 75 18
86 26 18
12 39 19
7 87 15
8 97 15
44 13 16
34 50 15
96 61 14
21 84 10
3 72 14
38 3 10
4 5 14
74 82 10
94 82 19
60 3 20
51 31 14
44 68 17
15 91 14
51 17 13
30 47 11
12 38 20
75 96 13
44 0 13
4 74 10
82 84 10
40 5 18
53 72 19
19 80 16
17 9 15
38 81 12
38 45 20
91 56 15
75 10 11
56 44 15
89 23 11
54 90 17
42 64 11
30 36 16
16 23 17
63 27 10
34 1 20
99 44 18
12 27 17
75 24 14
8 51 14
2 3 11
80 31 17
70 71 13
41 9 10
36 77 16
74 88 15
29 37 15
24 59 14
51 36 13
14 67 18
55 70 13
57 36 14
97 48 16
76 34 19
72 86 15
6 41 13
87 24 16
31 29 13
35 99 20
23 31 10
83 34 14
89 25 20
99 92 10
59 14 15
66 67 13
51 18 11
33 95 15
15 73 10
90 87 20
15 39 20
83 28 15
85 99 11
24 64 19
1 11 12
47 33 20
52 93 12
7 43 11
49 93 11
40 22 15
65 79 19
99 65 12
24 59 19
33 95 11
52 93 10
52 93 10
52 93 13
89 23 11
40 22 10
40 22 16
75 24 16
19 80 12
78 48 18
12 27 10
12 38 11
52 93 15
29 37 17
83 28 20
86 26 13
75 24 15
21 84 19
35 99 13
69 83 11
15 91 18
44 68 13
14 67 13
23 31 16
15 91 17
15 73 20
40 22 16
92 62 14
56 44 16
36 77 20
8 51 13
15 39 10
38 45 12
99 65 15
94 82 10
57 36 13
75 10 17
4 74 10
4 5 14
60 3 20
12 27 18
12 38 16
47 33 12
89 23 20
35 99 15
54 90 12
52 93 17
38 3 19
39 55 12
57 36 14
63 27 17
57 36 16
49 93 11
6 41 20
12 38 19
92 62 13
15 39 13
7 43 14
15 39 11
54 90 18
60 3 11
15 39 13
82 1 14
15 91 16
98 94 14
97 48 10
40 89 11
35 99 19
89 25 11
66 67 12
56 44 18
75 24 18
98 94 14
52 93 12
98 94 11
42 64 11
57 36 20
66 67 19
53 72 10
12 38 15
89 25 19
90 87 18
89 25 10
59 14 13
36 77 10
55 70 20
97 48 17
16 23 10
90 87 14
21 84 19
2 3 13
39 55 11
38 45 11
54 90 10
35 99 12
83 34 11
24 64 20
12 27 14
42 64 12
90 87 17
89 25 19
2 3 16
24 59 17
15 39 16
14 67 12
97 48 13
39 55 17
35 99 12
72 75 19
49 93 16
75 10 11
23 31 14
15 91 11
83 34 12
6 41 16
98 94 12
97 48 14
52 93 12
40 5 14
98 94 13
24 64 16
3 93 16
15 39 17
83 28 15
24 64 13
76 34 12
40 5 11
99 65 11
96 61 10
15 91 12
24 64 13
15 91 15
31 29 12
83 28 10
60 3 19
15 73 11
89 25 13
92 62 18
35 99 11
51 36 12
23 31 10
83 34 12
15 91 19
92 62 18
44 68 14
98 94 17
59 14 10
32 84 19
92 62 14
69 83 13
15 73 15
96 61 20
7 87 15
30 47 15
6 41 11
15 39 17
38 45 13
52 93 12
46 74 11
98 94 18
33 95 17
96 61 17
21 84 16
35 99 15
51 17 10
89 25 19
40 5 13
36 77 13
14 67 14
97 48 16
44 68 16
98 94 13
52 93 17
30 47 14
12 27 16
38 45 10
38 45 17
19 80 17
29 37 17
97 48 10
52 93 10
19 80 14
88 58 16
75 24 15
32 84 18
99 92 17
23 31 13
51 31 17
99 65 12
75 24 17
75 96 16
15 91 17
29 37 13
30 36 13
92 62 18
36 77 14
40 5 17
75 96 11
86 26 11
60 3 12
38 45 10
96 61 14
99 92 14
30 47 17
38 45 13
75 24 17
74 88 15
36 77 13
20 0 14
1 11 12
29 37 12
88 58 14
40 89 16
56 44 19
4 5 20
40 89 19
40 22 14
57 36 19
83 28 10
86 26 16
38 45 13
4 74 15
99 92 15
12 27 18
56 44 10
98 94 16
39 55 12
15 91 15
56 44 14
72 75 13
51 36 12
99 92 18
97 48 10
15 39 12
75 24 13
17 9 18
98 94 13
82 1 15
59 14 13
65 79 18
89 25 18
7 87 16
15 39 17
24 64 12
38 3 11
69 83 19
47 33 11
44 13 17
38 3 11
52 93 11
75 24 10
75 10 18
56 44 15
36 77 19
32 84 18
89 25 14
97 48 15
56 44 20
74 88 16
51 36 14
99 92 19
76 34 12
98 94 14
97 48 17
35 99 20
15 91 10
7 43 18
3 93 12
98 94 19
56 44 14
99 92 10
56 44 18
19 80 18
19 80 16
52 93 12
23 31 10
99 92 13
51 17 10
99 92 19
55 70 12
19 80 20
38 3 10
23 31 16
98 94 11
33 95 17
98 94 10
46 74 13
98 94 12
34 50 15
2 3 19
75 24 15
12 38 17
32 84 13
24 59 17
74 88 15
12 27 11
97 48 10
15 39 15
75 96 19
29 37 13
75 24 18
52 93 19
19 80 11
19 80 13
15 91 19
8 51 17
57 36 19
1 11 13
2 3 14
24 59 13
19 80 20
66 67 18
44 68 14
82 1 20
15 91 14
12 27 12
90 87 18
51 17 11
24 59 19
75 24 12
15 39 11
12 27 14
82 1 10
4 5 15
15 91 20
63 27 20
66 67 13
14 67 10
75 24 15
12 39 13
56 44 18
24 59 12
72 75 16
3 93 17
54 90 15
86 26 17
34 1 16
14 67 13
90 87 10
89 23 20
70 71 10
96 61 17
15 39 16
21 84 19
86 26 20
36 77 16
66 67 12
15 39 11
82 1 19
7 87 16
60 3 17
14 67 17
75 24 18
70 71 10
40 5 12
49 93 20
29 37 13
24 64 17
72 75 18
74 88 13
49 93 15
89 25 19
75 24 10
3 93 16
69 83 16
83 28 14
52 93 16
91 56 20
66 67 15
99 92 12
51 17 10
16 23 11
57 36 20
52 93 14
90 87 12
83 28 13
97 48 13
54 90 13
40 89 15
44 0 17
15 73 15
83 28 18
59 14 12
24 64 12
66 67 12
8 51 13
57 36 13
75 24 11
2 3 10
23 31 13
98 94 19
97 48 17
63 27 11
38 45 20
52 93 12
2 3 12
98 94 12
51 36 20
51 17 20
40 5 16
97 48 17
14 67 14
51 17 18
56 44 12
82 1 11
72 86 13
56 44 11
29 37 16
19 80 20
23 31 14
12 27 10
19 80 10
15 91 19
86 26 18
98 94 14
40 5 18
56 44 17
56 44 10
3 72 15
86 26 14
54 90 17
89 23 13
59 14 17
52 93 14
94 82 18
91 56 10
55 70 18
40 5 10
15 91 13
12 38 13
4 74 12
75 24 10
56 44 20
89 25 11
98 94 15
56 44 19
97 48 17
51 17 19
90 87 13
56 44 16
75 24 15
24 59 20
38 45 14
56 44 18
92 62 10
19 80 10
88 58 18
17 9 15
98 94 16
97 48 14
1 11 16
39 55 15
3 93 14
12 38 16
42 64 11
59 14 18
12 38 16
12 38 15
19 80 19
15 91 11
52 93 14
34 1 12
98 94 12
57 36 18
21 84 14
12 27 11
56 44 17
19 80 13
59 14 16
15 91 16
90 87 18
1 11 13
97 48 18
99 92 12
52 93 18
15 73 12
14 67 20
42 64 12
1 11 20
94 82 19
4 74 16
91 56 16
8 51 15
55 70 12
52 93 16
98 94 20
24 64 17
30 36 19
98 94 17
19 80 11
29 37 15
52 93 12
15 91 19
1 11 19
15 91 10
19 80 14
23 31 17
30 47 11
83 28 10
51 17 16
4 74 14
96 61 19
56 44 16
75 24 20
30 47 19
8 51 19
89 25 11
52 93 14
75 24 14
97 48 14
92 62 11
39 55 18
75 24 17
59 14 13
75 24 16
63 27 12
39 55 16
15 91 12
15 91 16
97 48 20
4 74 10
23 31 20
15 91 13
42 64 17
38 45 19
56 44 12
15 91 15
51 36 15
52 93 16
51 36 20
98 94 19
1 11 14
90 87 14
40 5 17
15 91 15
99 65 19
99 92 19
21 84 14
98 94 11
97 48 20
89 25 18
35 99 16
89 25 18
31 29 15
97 48 16
30 47 13
1 11 11
83 28 19
69 83 11
82 1 19
38 45 13
40 5 10
72 75 20
74 88 14
44 68 18
34 50 20
94 82 20
76 34 12
19 80 10
75 24 13
49 93 14
49 93 13
12 27 10
33 95 16
92 62 14
15 91 15
47 33 18
15 91 16
15 39 19
14 67 15
59 14 17
32 84 19
60 3 18
12 27 19
56 44 10
15 91 20
97 48 15
23 31 11
14 67 15
91 56 16
3 93 13
47 33 12
89 25 11
8 51 19
14 67 18
66 67 14
24 64 20
12 38 20
83 28 10
21 84 18
12 27 13
14 67 14
24 59 18
92 62 20
40 5 15
99 65 16
19 80 18
35 99 20
92 62 11
60 3 18
56 44 18
86 26 16
96 61 20
74 88 13
47 33 12
75 24 13
89 25 13
91 56 17
99 92 10
82 1 11
17 9 15
35 99 19
66 67 16
38 45 20
35 99 15
54 90 14
57 36 16
1 11 16
39 55 14
24 64 10
55 70 20
35 99 11
98 94 19
35 99 19
42 64 14
20 0 18
90 87 13
83 34 19
15 91 15
78 48 11
89 25 15
1 11 19
85 99 10
69 83 13
35 99 16
98 94 12
57 36 18
21 84 15
96 61 16
42 64 12
75 24 10
44 13 13
8 97 14
8 51 15
19 80 15
97 48 10
56 44 16
1 11 11
99 92 16
99 82 20
15 39 13
4 5 18
86 26 14
94 82 19
15 91 13
57 36 16
19 80 10
4 74 10
14 67 16
29 37 11
